population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Dindefelo;W;Senegal;12.36026396;-12.39585383;Termite perforating;Epigaiec termitefishing;Termiteperforate;Termitefish;Termite;1;NA;2;NA;10;18;Termite perforating;Perforate
Dindefelo;W;Senegal;12.36026396;-12.39585383;Termite puncturing;Underground termitefishing;Termitepuncture;Termitedig;Termite;0;NA;0;NA;10;18;Termite puncturing;Dig
Dindefelo;W;Senegal;12.36026396;-12.39585383;Wood pound;Woodpound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Wood pound;Smash
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Ant dipping;Driver antnest;Antdip;Antdip;Ant;NA;NA;NA;NA;8;10;Ant dippingnest;Dip
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Ant fishingprobe;Arboreal ants;Antfishing;Antfish;Ant;NA;NA;NA;NA;7;7;Ant fishingprobe;Dip
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Ant perforatingstick;Driver antnest;Antperforate;Antdip;Ant;NA;NA;NA;NA;6;10;Ant perforatingstick;Perforate
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Honey dig;Underground honeydig;Honeydig;Honeydig;Honey;NA;NA;NA;NA;6;10;Honey dig;Perforate
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Honey dip;Underground stinglessbee;Honeydip;Honeydig;Honey;NA;NA;NA;NA;8;12;Honey dipumeli;Dip
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Honey dipaerial;Aerial honey;Honeydip;Honeydip;Honey;NA;NA;NA;NA;22;36;Honey dipameli;Dip
Djouroutou;W;Cote dIvoire;5.411101561;-7.205258661;Honey lever;Aerial honey;Honeylever;Honeydip;Honey;NA;NA;NA;NA;13;23;Honey leverapis;Perforate
